start_date,end_date,answer,pct
2/12/20,2/17/20,Trump,42
2/13/20,2/16/20,Biden,50
2/13/20,2/16/20,Trump,44
2/13/20,2/16/20,Bloomberg,48
2/13/20,2/16/20,Trump,44
2/13/20,2/16/20,Buttigieg,47
2/13/20,2/16/20,Trump,45
2/13/20,2/16/20,Klobuchar,47
2/13/20,2/16/20,Trump,45
2/13/20,2/16/20,Sanders,48
2/13/20,2/16/20,Trump,45
2/13/20,2/16/20,Warren,47
2/13/20,2/16/20,Trump,46
2/13/20,2/16/20,Biden,49
2/13/20,2/16/20,Trump,45
2/13/20,2/16/20,Sanders,50
2/13/20,2/16/20,Trump,45
2/13/20,2/16/20,Warren,44
